beneficiary_id,account_id,beneficiary_account_id,created_at,status
B_100041,ACC_1000049,ACC_1012106,2021-11-30 07:09:07,APPROVED
B_100042,ACC_1000049,ACC_1010759,2021-11-21 07:09:07,APPROVED
B_100043,ACC_1000049,ACC_1005978,2021-11-26 07:09:07,APPROVED
B_100044,ACC_1000050,ACC_1008049,2023-05-01 06:26:21,APPROVED
B_100045,ACC_1000050,ACC_1013729,2023-05-06 06:26:21,APPROVED
B_100046,ACC_1000050,ACC_1008429,2023-05-04 06:26:21,APPROVED
B_100047,ACC_1000054,ACC_1014870,2025-02-03 01:11:37,APPROVED
B_100048,ACC_1000055,ACC_1003503,2017-05-26 17:26:49,APPROVED
B_100049,ACC_1000057,ACC_1001662,2025-05-19 02:59:25,APPROVED
B_100050,ACC_1000057,ACC_1008845,2025-05-15 02:59:25,APPROVED
B_100051,ACC_1000059,ACC_1012860,2022-04-08 20:58:30,APPROVED
B_100052,ACC_1000059,ACC_1003617,2022-04-05 20:58:30,APPROVED
B_100053,ACC_1000061,ACC_1007613,2023-09-21 05:28:06,APPROVED
B_100054,ACC_1000061,ACC_1006136,2023-09-28 05:28:06,APPROVED
B_100055,ACC_1000070,ACC_1003702,2024-05-27 22:42:25,APPROVED
B_100056,ACC_1000070,ACC_1006503,2024-05-26 22:42:25,APPROVED
B_100057,ACC_1000073,ACC_1001644,2023-06-21 22:49:15,APPROVED
B_100058,ACC_1000073,ACC_1007929,2023-06-24 22:49:15,APPROVED
B_100059,ACC_1000075,ACC_1014314,2019-04-08 20:43:09,APPROVED
B_100060,ACC_1000076,ACC_1000036,2019-04-10 21:32:09,APPROVED
B_100061,ACC_1000076,ACC_1011382,2019-04-05 21:32:09,APPROVED
B_100062,ACC_1000076,ACC_1004417,2019-04-09 21:32:09,APPROVED
B_100063,ACC_1000078,ACC_1007552,2024-06-23 02:58:04,APPROVED
B_100064,ACC_1000078,ACC_1011530,2024-06-17 02:58:04,APPROVED
B_100065,ACC_1000080,ACC_1013595,2021-08-14 11:35:03,APPROVED
B_100066,ACC_1000080,ACC_1007176,2021-08-12 11:35:03,APPROVED
B_100067,ACC_1000080,ACC_1007934,2021-08-11 11:35:03,APPROVED
B_100068,ACC_1000081,ACC_1010796,2023-11-28 08:46:29,APPROVED
B_100069,ACC_1000082,ACC_1013433,2023-11-02 20:47:29,APPROVED
B_100070,ACC_1000083,ACC_1005391,2021-03-26 06:24:16,APPROVED
B_100071,ACC_1000083,ACC_1002566,2021-04-03 06:24:16,APPROVED
B_100072,ACC_1000083,ACC_1008650,2021-04-03 06:24:16,APPROVED
B_100073,ACC_1000084,ACC_1001114,2026-01-30 20:48:42,APPROVED
B_100074,ACC_1000084,ACC_1012495,2026-02-04 20:48:42,APPROVED
B_100075,ACC_1000084,ACC_1009923,2026-02-01 20:48:42,APPROVED
B_100076,ACC_1000085,ACC_1006531,2026-01-23 17:25:42,APPROVED
B_100077,ACC_1000085,ACC_1002415,2026-01-22 17:25:42,APPROVED
B_100078,ACC_1000086,ACC_1014509,2026-01-28 02:02:42,APPROVED
B_100079,ACC_1000086,ACC_1011182,2026-01-27 02:02:42,APPROVED
B_100080,ACC_1000089,ACC_1009706,2018-08-22 05:26:34,APPROVED
B_100081,ACC_1000089,ACC_1006072,2018-08-27 05:26:34,APPROVED
B_100082,ACC_1000090,ACC_1014092,2018-08-26 23:42:34,APPROVED
B_100083,ACC_1000090,ACC_1000670,2018-08-27 23:42:34,APPROVED
B_100084,ACC_1000090,ACC_1001385,2018-08-29 23:42:34,APPROVED
B_100085,ACC_1000092,ACC_1012083,2022-07-29 04:53:40,APPROVED
B_100086,ACC_1000094,ACC_1003609,2022-03-17 02:01:49,APPROVED
B_100087,ACC_1000094,ACC_1003705,2022-03-14 02:01:49,APPROVED
B_100088,ACC_1000094,ACC_1008806,2022-03-11 02:01:49,APPROVED
B_100089,ACC_1000097,ACC_1008336,2023-09-19 17:06:14,APPROVED
B_100090,ACC_1000097,ACC_1011282,2023-09-16 17:06:14,APPROVED
B_100091,ACC_1000097,ACC_1014832,2023-09-12 17:06:14,APPROVED
B_100092,ACC_1000099,ACC_1009694,2017-07-20 22:11:35,APPROVED
B_100093,ACC_1000100,ACC_1009188,2025-12-07 07:51:12,APPROVED
B_100094,ACC_1000101,ACC_1001499,2019-12-12 04:52:49,APPROVED
B_100095,ACC_1000101,ACC_1006894,2019-12-07 04:52:49,PENDING
B_100096,ACC_1000101,ACC_1001864,2019-12-07 04:52:49,APPROVED
B_100097,ACC_1000104,ACC_1006382,2024-08-25 06:22:51,APPROVED
B_100098,ACC_1000104,ACC_1008108,2024-08-26 06:22:51,APPROVED
B_100099,ACC_1000105,ACC_1009882,2019-07-17 06:28:08,APPROVED
B_100100,ACC_1000105,ACC_1011240,2019-07-19 06:28:08,APPROVED
B_100101,ACC_1000106,ACC_1007544,2022-09-18 20:04:13,APPROVED
B_100102,ACC_1000107,ACC_1006250,2022-09-22 18:28:13,APPROVED
B_100103,ACC_1000108,ACC_1001843,2024-10-16 05:03:43,APPROVED
B_100104,ACC_1000109,ACC_1015017,2025-07-23 23:56:37,APPROVED
B_100105,ACC_1000109,ACC_1010378,2025-07-27 23:56:37,APPROVED
B_100106,ACC_1000109,ACC_1002457,2025-07-22 23:56:37,APPROVED
B_100107,ACC_1000111,ACC_1002706,2018-01-18 08:16:46,APPROVED
B_100108,ACC_1000114,ACC_1011881,2020-04-21 01:44:52,APPROVED
B_100109,ACC_1000115,ACC_1008325,2019-11-11 22:16:55,APPROVED
B_100110,ACC_1000117,ACC_1010999,2020-08-08 08:29:18,APPROVED
B_100111,ACC_1000117,ACC_1005603,2020-08-15 08:29:18,APPROVED
B_100112,ACC_1000119,ACC_1001772,2021-12-19 10:56:56,APPROVED
B_100113,ACC_1000119,ACC_1008020,2021-12-23 10:56:56,APPROVED
B_100114,ACC_1000120,ACC_1003796,2017-06-13 23:09:42,APPROVED
B_100115,ACC_1000120,ACC_1005028,2017-06-13 23:09:42,APPROVED
B_100116,ACC_1000120,ACC_1001012,2017-06-15 23:09:42,APPROVED
B_100117,ACC_1000122,ACC_1005553,2017-05-30 12:19:42,APPROVED
B_100118,ACC_1000123,ACC_1007445,2024-08-04 17:53:05,APPROVED
B_100119,ACC_1000123,ACC_1002053,2024-08-04 17:53:05,APPROVED
B_100120,ACC_1000127,ACC_1001719,2021-07-24 19:46:06,APPROVED
B_100121,ACC_1000128,ACC_1010701,2021-07-14 01:19:06,APPROVED
B_100122,ACC_1000128,ACC_1008778,2021-07-16 01:19:06,APPROVED
B_100123,ACC_1000129,ACC_1001671,2018-12-03 09:19:36,APPROVED
B_100124,ACC_1000129,ACC_1002316,2018-12-10 09:19:36,APPROVED
B_100125,ACC_1000129,ACC_1013603,2018-12-09 09:19:36,APPROVED
B_100126,ACC_1000134,ACC_1001738,2018-06-06 04:25:07,APPROVED
B_100127,ACC_1000135,ACC_1013283,2018-05-21 22:25:07,APPROVED
B_100128,ACC_1000136,ACC_1013767,2021-02-24 20:54:12,APPROVED
B_100129,ACC_1000138,ACC_1007269,2016-11-18 05:10:55,APPROVED
B_100130,ACC_1000138,ACC_1013894,2016-11-14 05:10:55,APPROVED
B_100131,ACC_1000138,ACC_1009661,2016-11-14 05:10:55,APPROVED
B_100132,ACC_1000139,ACC_1003796,2017-09-08 20:37:59,APPROVED
B_100133,ACC_1000139,ACC_1006571,2017-09-04 20:37:59,PENDING
B_100134,ACC_1000139,ACC_1011572,2017-09-01 20:37:59,APPROVED
B_100135,ACC_1000141,ACC_1009341,2017-06-23 15:53:53,APPROVED
B_100136,ACC_1000141,ACC_1006670,2017-06-26 15:53:53,APPROVED
B_100137,ACC_1000141,ACC_1014525,2017-06-21 15:53:53,APPROVED
B_100138,ACC_1000143,ACC_1004596,2020-11-10 12:03:07,APPROVED
B_100139,ACC_1000145,ACC_1014613,2020-11-26 12:49:42,APPROVED
B_100140,ACC_1000145,ACC_1003331,2020-11-28 12:49:42,APPROVED
B_100141,ACC_1000145,ACC_1002829,2020-12-03 12:49:42,APPROVED
B_100142,ACC_1000146,ACC_1000405,2020-12-22 04:32:42,APPROVED
B_100143,ACC_1000150,ACC_1003453,2023-01-03 01:01:58,APPROVED
B_100144,ACC_1000150,ACC_1005591,2023-01-01 01:01:58,APPROVED
B_100145,ACC_1000153,ACC_1003185,2017-02-02 10:11:51,APPROVED
B_100146,ACC_1000153,ACC_1002199,2017-01-25 10:11:51,APPROVED
B_100147,ACC_1000158,ACC_1006173,2022-03-10 01:29:01,APPROVED
B_100148,ACC_1000158,ACC_1010633,2022-03-03 01:29:01,APPROVED
B_100149,ACC_1000158,ACC_1012898,2022-03-12 01:29:01,APPROVED
B_100150,ACC_1000165,ACC_1011086,2019-06-08 08:27:14,APPROVED
B_100151,ACC_1000165,ACC_1010355,2019-06-13 08:27:14,APPROVED
B_100152,ACC_1000166,ACC_1004059,2022-01-08 19:21:08,APPROVED
B_100153,ACC_1000168,ACC_1004431,2022-01-09 17:02:08,APPROVED
B_100154,ACC_1000168,ACC_1003095,2022-01-10 17:02:08,APPROVED
B_100155,ACC_1000168,ACC_1008791,2022-01-10 17:02:08,APPROVED
B_100156,ACC_1000169,ACC_1012946,2017-08-18 12:41:13,APPROVED
B_100157,ACC_1000173,ACC_1000121,2025-08-19 04:43:35,APPROVED
B_100158,ACC_1000173,ACC_1008765,2025-08-16 04:43:35,APPROVED
B_100159,ACC_1000173,ACC_1004532,2025-08-20 04:43:35,APPROVED
B_100160,ACC_1000178,ACC_1008980,2020-02-20 08:58:04,APPROVED
B_100161,ACC_1000178,ACC_1002096,2020-02-19 08:58:04,APPROVED
B_100162,ACC_1000178,ACC_1002682,2020-02-19 08:58:04,APPROVED
B_100163,ACC_1000181,ACC_1008619,2019-11-12 03:14:35,APPROVED
B_100164,ACC_1000181,ACC_1001798,2019-11-19 03:14:35,APPROVED
B_100165,ACC_1000186,ACC_1010386,2016-07-03 21:05:53,APPROVED
B_100166,ACC_1000186,ACC_1008282,2016-07-03 21:05:53,APPROVED
B_100167,ACC_1000187,ACC_1012199,2016-06-23 22:17:53,APPROVED
B_100168,ACC_1000187,ACC_1011973,2016-06-23 22:17:53,APPROVED
B_100169,ACC_1000187,ACC_1013060,2016-06-21 22:17:53,APPROVED
B_100170,ACC_1000188,ACC_1003955,2016-07-09 08:48:53,APPROVED
B_100171,ACC_1000188,ACC_1001447,2016-07-08 08:48:53,APPROVED
B_100172,ACC_1000188,ACC_1008997,2016-07-05 08:48:53,PENDING
B_100173,ACC_1000191,ACC_1010907,2018-06-18 12:31:35,APPROVED
B_100174,ACC_1000191,ACC_1000730,2018-06-16 12:31:35,APPROVED
B_100175,ACC_1000199,ACC_1003166,2018-01-05 11:08:42,APPROVED
B_100176,ACC_1000199,ACC_1010742,2017-12-27 11:08:42,APPROVED
B_100177,ACC_1000206,ACC_1001288,2023-10-10 20:56:50,APPROVED
B_100178,ACC_1000209,ACC_1008454,2022-03-17 06:39:22,APPROVED
B_100179,ACC_1000210,ACC_1004360,2017-05-02 19:15:14,APPROVED
B_100180,ACC_1000210,ACC_1011982,2017-04-27 19:15:14,APPROVED
B_100181,ACC_1000210,ACC_1001916,2017-04-25 19:15:14,APPROVED
B_100182,ACC_1000211,ACC_1003854,2017-05-02 07:07:14,APPROVED
B_100183,ACC_1000211,ACC_1002306,2017-04-25 07:07:14,APPROVED
B_100184,ACC_1000214,ACC_1002629,2017-10-16 07:14:03,APPROVED
B_100185,ACC_1000214,ACC_1007022,2017-10-17 07:14:03,APPROVED
B_100186,ACC_1000214,ACC_1014871,2017-10-19 07:14:03,APPROVED
B_100187,ACC_1000219,ACC_1002913,2020-03-19 10:43:58,APPROVED
B_100188,ACC_1000221,ACC_1014582,2023-12-26 03:28:59,APPROVED
B_100189,ACC_1000221,ACC_1002081,2023-12-24 03:28:59,APPROVED
B_100190,ACC_1000221,ACC_1002389,2023-12-25 03:28:59,APPROVED
B_100191,ACC_1000223,ACC_1001108,2016-05-16 22:45:26,APPROVED
B_100192,ACC_1000223,ACC_1000868,2016-05-11 22:45:26,APPROVED
B_100193,ACC_1000223,ACC_1007660,2016-05-11 22:45:26,APPROVED
B_100194,ACC_1000227,ACC_1002684,2023-08-18 12:04:43,APPROVED
B_100195,ACC_1000228,ACC_1012445,2018-04-28 00:27:27,APPROVED
B_100196,ACC_1000232,ACC_1011219,2020-11-15 07:45:36,APPROVED
B_100197,ACC_1000233,ACC_1010723,2020-11-12 10:23:36,APPROVED
B_100198,ACC_1000240,ACC_1003515,2025-12-25 23:27:09,APPROVED
B_100199,ACC_1000240,ACC_1001910,2025-12-26 23:27:09,APPROVED
B_100200,ACC_1000240,ACC_1013994,2025-12-23 23:27:09,APPROVED
B_100201,ACC_1000241,ACC_1010282,2025-12-21 16:20:09,APPROVED
B_100202,ACC_1000241,ACC_1011039,2025-12-20 16:20:09,APPROVED
B_100203,ACC_1000241,ACC_1011255,2025-12-21 16:20:09,PENDING
B_100204,ACC_1000242,ACC_1012653,2024-12-21 22:57:02,APPROVED
B_100205,ACC_1000242,ACC_1005416,2024-12-22 22:57:02,APPROVED
B_100206,ACC_1000242,ACC_1005285,2024-12-28 22:57:02,APPROVED
B_100207,ACC_1000244,ACC_1007578,2020-03-01 21:40:07,APPROVED
B_100208,ACC_1000244,ACC_1008565,2020-02-29 21:40:07,APPROVED
B_100209,ACC_1000244,ACC_1012454,2020-03-08 21:40:07,APPROVED
B_100210,ACC_1000251,ACC_1002487,2024-11-20 08:18:11,APPROVED
B_100211,ACC_1000251,ACC_1002609,2024-11-18 08:18:11,APPROVED
B_100212,ACC_1000251,ACC_1009606,2024-11-18 08:18:11,APPROVED
B_100213,ACC_1000253,ACC_1011880,2023-04-26 02:13:34,APPROVED
B_100214,ACC_1000254,ACC_1007564,2019-11-28 20:46:16,APPROVED
B_100215,ACC_1000254,ACC_1007953,2019-12-03 20:46:16,APPROVED
B_100216,ACC_1000258,ACC_1006535,2024-07-05 15:46:41,APPROVED
B_100217,ACC_1000260,ACC_1014349,2025-10-27 16:03:08,PENDING
B_100218,ACC_1000260,ACC_1004224,2025-10-27 16:03:08,APPROVED
B_100219,ACC_1000260,ACC_1000945,2025-10-30 16:03:08,APPROVED
B_100220,ACC_1000262,ACC_1013218,2025-11-17 05:14:08,APPROVED
B_100221,ACC_1000262,ACC_1004027,2025-11-21 05:14:08,APPROVED
B_100222,ACC_1000263,ACC_1003895,2025-08-27 10:15:21,APPROVED
B_100223,ACC_1000263,ACC_1005181,2025-08-23 10:15:21,APPROVED
B_100224,ACC_1000266,ACC_1005322,2020-05-12 00:04:16,APPROVED
B_100225,ACC_1000266,ACC_1014710,2020-05-12 00:04:16,APPROVED
B_100226,ACC_1000266,ACC_1002271,2020-05-10 00:04:16,APPROVED
B_100227,ACC_1000270,ACC_1002840,2018-12-06 20:05:06,APPROVED
B_100228,ACC_1000270,ACC_1000574,2018-12-04 20:05:06,APPROVED
B_100229,ACC_1000271,ACC_1004986,2018-11-18 20:54:06,APPROVED
B_100230,ACC_1000271,ACC_1008919,2018-11-23 20:54:06,APPROVED
B_100231,ACC_1000280,ACC_1001938,2016-07-14 22:54:38,APPROVED
B_100232,ACC_1000280,ACC_1007277,2016-07-16 22:54:38,APPROVED
B_100233,ACC_1000281,ACC_1010408,2016-07-14 03:42:38,APPROVED
B_100234,ACC_1000283,ACC_1002368,2024-07-24 22:44:23,APPROVED
B_100235,ACC_1000285,ACC_1002095,2021-04-16 21:44:22,APPROVED
B_100236,ACC_1000285,ACC_1010585,2021-04-08 21:44:22,APPROVED
B_100237,ACC_1000285,ACC_1005075,2021-04-10 21:44:22,PENDING
B_100238,ACC_1000287,ACC_1010275,2018-04-01 06:31:32,APPROVED
B_100239,ACC_1000292,ACC_1014963,2019-12-27 10:33:46,APPROVED
B_100240,ACC_1000292,ACC_1009214,2019-12-31 10:33:46,APPROVED
B_100241,ACC_1000292,ACC_1010466,2020-01-04 10:33:46,APPROVED
B_100242,ACC_1000296,ACC_1006732,2024-10-09 09:09:22,APPROVED
B_100243,ACC_1000296,ACC_1009577,2024-10-06 09:09:22,APPROVED
B_100244,ACC_1000296,ACC_1005270,2024-10-09 09:09:22,APPROVED
B_100245,ACC_1000298,ACC_1007265,2018-11-06 23:03:49,APPROVED
B_100246,ACC_1000298,ACC_1005110,2018-11-05 23:03:49,APPROVED
B_100247,ACC_1000298,ACC_1006784,2018-11-12 23:03:49,APPROVED
B_100248,ACC_1000301,ACC_1010970,2019-06-08 18:33:04,APPROVED
B_100249,ACC_1000301,ACC_1009329,2019-06-08 18:33:04,APPROVED
B_100250,ACC_1000303,ACC_1001052,2019-05-25 03:30:04,APPROVED
B_100251,ACC_1000303,ACC_1005057,2019-05-24 03:30:04,APPROVED
B_100252,ACC_1000305,ACC_1004132,2018-09-08 14:09:12,APPROVED
B_100253,ACC_1000305,ACC_1007665,2018-09-10 14:09:12,APPROVED
B_100254,ACC_1000305,ACC_1013471,2018-09-09 14:09:12,PENDING
B_100255,ACC_1000306,ACC_1002886,2017-01-25 17:38:37,APPROVED
B_100256,ACC_1000306,ACC_1014749,2017-01-25 17:38:37,APPROVED
B_100257,ACC_1000306,ACC_1010725,2017-01-20 17:38:37,APPROVED
B_100258,ACC_1000308,ACC_1012507,2017-01-23 01:07:37,APPROVED
B_100259,ACC_1000314,ACC_1009652,2017-12-21 01:15:49,APPROVED
B_100260,ACC_1000314,ACC_1010693,2017-12-23 01:15:49,APPROVED
B_100261,ACC_1000315,ACC_1002552,2017-11-29 13:54:49,APPROVED
B_100262,ACC_1000315,ACC_1008076,2017-12-08 13:54:49,APPROVED
B_100263,ACC_1000321,ACC_1007419,2019-01-05 00:02:09,APPROVED
B_100264,ACC_1000322,ACC_1009001,2018-10-19 13:20:52,APPROVED
B_100265,ACC_1000322,ACC_1009980,2018-10-23 13:20:52,APPROVED
B_100266,ACC_1000323,ACC_1010372,2018-11-04 09:39:52,APPROVED
B_100267,ACC_1000325,ACC_1004886,2016-08-30 18:10:37,APPROVED
B_100268,ACC_1000327,ACC_1000909,2018-03-23 09:21:56,APPROVED
B_100269,ACC_1000327,ACC_1002586,2018-04-01 09:21:56,APPROVED
B_100270,ACC_1000328,ACC_1000342,2017-05-21 05:28:04,APPROVED
B_100271,ACC_1000329,ACC_1000882,2020-07-16 13:00:26,APPROVED
B_100272,ACC_1000329,ACC_1008768,2020-07-08 13:00:26,APPROVED
B_100273,ACC_1000329,ACC_1012654,2020-07-09 13:00:26,APPROVED
B_100274,ACC_1000330,ACC_1008378,2017-08-28 09:49:27,APPROVED
B_100275,ACC_1000330,ACC_1005763,2017-08-26 09:49:27,APPROVED
B_100276,ACC_1000330,ACC_1002870,2017-08-26 09:49:27,APPROVED
B_100277,ACC_1000331,ACC_1002394,2022-01-26 05:18:05,PENDING
B_100278,ACC_1000333,ACC_1011742,2016-08-22 18:15:43,APPROVED
B_100279,ACC_1000336,ACC_1003842,2019-09-02 07:23:01,APPROVED
B_100280,ACC_1000336,ACC_1002833,2019-09-05 07:23:01,APPROVED
B_100281,ACC_1000337,ACC_1000285,2023-08-19 16:38:19,APPROVED
B_100282,ACC_1000337,ACC_1002494,2023-08-17 16:38:19,APPROVED
B_100283,ACC_1000341,ACC_1012903,2024-09-17 13:13:58,APPROVED
B_100284,ACC_1000343,ACC_1011012,2017-04-25 10:15:58,APPROVED
B_100285,ACC_1000343,ACC_1002227,2017-04-26 10:15:58,APPROVED
B_100286,ACC_1000343,ACC_1008982,2017-04-26 10:15:58,APPROVED
B_100287,ACC_1000348,ACC_1004893,2021-08-21 08:51:00,APPROVED
B_100288,ACC_1000348,ACC_1001028,2021-08-22 08:51:00,APPROVED
B_100289,ACC_1000348,ACC_1001824,2021-08-23 08:51:00,APPROVED
B_100290,ACC_1000351,ACC_1008531,2021-03-28 14:36:12,APPROVED
B_100291,ACC_1000352,ACC_1001683,2021-03-14 05:37:12,APPROVED
B_100292,ACC_1000352,ACC_1003476,2021-03-19 05:37:12,APPROVED
B_100293,ACC_1000352,ACC_1004512,2021-03-18 05:37:12,APPROVED
B_100294,ACC_1000353,ACC_1006119,2018-04-05 05:37:22,APPROVED
B_100295,ACC_1000353,ACC_1005416,2018-03-29 05:37:22,APPROVED
B_100296,ACC_1000353,ACC_1003153,2018-04-04 05:37:22,APPROVED
B_100297,ACC_1000354,ACC_1006997,2018-02-16 09:49:10,APPROVED
B_100298,ACC_1000354,ACC_1012370,2018-02-14 09:49:10,APPROVED
B_100299,ACC_1000357,ACC_1012304,2019-06-25 04:02:54,APPROVED
B_100300,ACC_1000357,ACC_1006958,2019-07-02 04:02:54,APPROVED
B_100301,ACC_1000359,ACC_1014199,2018-07-08 21:19:47,PENDING
B_100302,ACC_1000359,ACC_1002005,2018-07-13 21:19:47,APPROVED
B_100303,ACC_1000361,ACC_1007334,2018-07-03 05:46:47,APPROVED
B_100304,ACC_1000362,ACC_1002185,2023-07-01 04:25:07,APPROVED
B_100305,ACC_1000362,ACC_1003843,2023-07-04 04:25:07,APPROVED
B_100306,ACC_1000362,ACC_1005217,2023-06-27 04:25:07,APPROVED
B_100307,ACC_1000366,ACC_1010349,2021-01-08 16:23:32,APPROVED
B_100308,ACC_1000366,ACC_1012078,2021-01-12 16:23:32,APPROVED
B_100309,ACC_1000366,ACC_1005027,2021-01-12 16:23:32,APPROVED
B_100310,ACC_1000367,ACC_1001453,2021-01-10 00:24:32,APPROVED
B_100311,ACC_1000367,ACC_1008485,2021-01-12 00:24:32,APPROVED
B_100312,ACC_1000367,ACC_1008186,2021-01-10 00:24:32,APPROVED
B_100313,ACC_1000370,ACC_1002912,2020-10-13 03:50:38,APPROVED
B_100314,ACC_1000374,ACC_1010387,2020-04-26 09:14:36,APPROVED
B_100315,ACC_1000374,ACC_1000158,2020-04-29 09:14:36,APPROVED
B_100316,ACC_1000375,ACC_1014492,2020-04-15 13:52:36,APPROVED
B_100317,ACC_1000375,ACC_1004787,2020-04-11 13:52:36,APPROVED
B_100318,ACC_1000376,ACC_1007104,2016-05-01 10:41:47,APPROVED
B_100319,ACC_1000378,ACC_1001654,2016-06-12 19:01:15,APPROVED
B_100320,ACC_1000378,ACC_1014549,2016-06-19 19:01:15,APPROVED
B_100321,ACC_1000378,ACC_1010154,2016-06-17 19:01:15,APPROVED
B_100322,ACC_1000380,ACC_1010273,2019-04-30 12:36:32,APPROVED
B_100323,ACC_1000380,ACC_1004493,2019-04-27 12:36:32,APPROVED
B_100324,ACC_1000380,ACC_1000323,2019-04-24 12:36:32,APPROVED
B_100325,ACC_1000381,ACC_1013491,2019-04-10 01:51:32,APPROVED
B_100326,ACC_1000381,ACC_1002342,2019-04-04 01:51:32,APPROVED
B_100327,ACC_1000382,ACC_1013246,2017-09-11 10:20:41,APPROVED
B_100328,ACC_1000383,ACC_1013787,2018-01-19 14:19:30,APPROVED
B_100329,ACC_1000383,ACC_1005569,2018-01-19 14:19:30,APPROVED
B_100330,ACC_1000383,ACC_1008967,2018-01-17 14:19:30,APPROVED
B_100331,ACC_1000384,ACC_1012963,2024-11-12 20:35:42,APPROVED
B_100332,ACC_1000384,ACC_1005843,2024-11-06 20:35:42,APPROVED
B_100333,ACC_1000384,ACC_1000685,2024-11-12 20:35:42,APPROVED
B_100334,ACC_1000386,ACC_1011257,2018-04-29 10:41:28,APPROVED
B_100335,ACC_1000389,ACC_1006568,2018-10-08 05:17:02,APPROVED
B_100336,ACC_1000391,ACC_1002040,2016-08-08 19:53:51,APPROVED
B_100337,ACC_1000391,ACC_1003890,2016-08-09 19:53:51,APPROVED
B_100338,ACC_1000391,ACC_1011928,2016-08-12 19:53:51,APPROVED
B_100339,ACC_1000392,ACC_1010799,2018-08-21 16:29:46,APPROVED
B_100340,ACC_1000392,ACC_1010453,2018-08-27 16:29:46,APPROVED
B_100341,ACC_1000396,ACC_1006700,2022-03-07 22:23:44,APPROVED
B_100342,ACC_1000397,ACC_1008772,2024-08-29 03:53:56,APPROVED
B_100343,ACC_1000397,ACC_1003351,2024-09-02 03:53:56,APPROVED
B_100344,ACC_1000397,ACC_1005749,2024-08-27 03:53:56,APPROVED
B_100345,ACC_1000398,ACC_1002288,2021-03-11 17:04:16,APPROVED
B_100346,ACC_1000398,ACC_1012186,2021-03-09 17:04:16,APPROVED
B_100347,ACC_1000403,ACC_1009648,2023-09-18 21:40:06,APPROVED
