device_id,device_type,operating_system,ip_address,location
DEV_10231,TABLET,Android 13 Tablet,111.14.161.18,Bristol
DEV_10232,TABLET,Android 13 Tablet,66.71.131.116,Liverpool
DEV_10233,TABLET,Android 13 Tablet,37.230.64.13,Sheffield
DEV_10234,MOBILE,iOS 16.5,193.118.254.243,Leicester
DEV_10235,MOBILE,iOS 16.5,130.220.197.67,Sheffield
DEV_10236,MOBILE,iOS 16.5,142.105.142.178,Belfast
DEV_10237,LAPTOP,macOS Ventura,36.112.181.169,Sheffield
DEV_10238,TABLET,Android 13 Tablet,126.165.131.156,Leicester
DEV_10239,LAPTOP,macOS Sonoma,37.36.98.13,Liverpool
DEV_10240,TABLET,Android 13 Tablet,108.4.243.105,Liverpool
DEV_10241,LAPTOP,macOS Sonoma,34.254.45.173,Leicester
DEV_10242,MOBILE,iOS 16.5,65.220.252.147,Sheffield
DEV_10243,TABLET,iPadOS 17,38.192.156.140,Bristol
DEV_10244,TABLET,iPadOS 17,80.56.13.221,Nottingham
DEV_10245,MOBILE,Android 13,111.247.219.123,Liverpool
DEV_10246,TABLET,iPadOS 17,132.129.126.246,Coventry
DEV_10247,TABLET,Android 13 Tablet,190.54.196.105,Glasgow
DEV_10248,MOBILE,Android 14,103.56.85.121,Edinburgh
DEV_10249,MOBILE,iOS 16.5,67.197.12.61,Bristol
DEV_10250,MOBILE,iOS 17.4,79.31.201.185,Sheffield
DEV_10251,MOBILE,iOS 16.5,145.84.40.206,Glasgow
DEV_10252,TABLET,iPadOS 17,54.70.163.209,Manchester
DEV_10253,MOBILE,iOS 17.4,178.224.213.181,Liverpool
DEV_10254,MOBILE,Android 14,59.23.150.180,Leicester
DEV_10255,MOBILE,iOS 17.4,143.98.182.24,Leicester
DEV_10256,LAPTOP,Windows 11,191.233.78.145,Sheffield
DEV_10257,LAPTOP,macOS Sonoma,55.2.35.58,Nottingham
DEV_10258,LAPTOP,Windows 10,38.179.218.137,Edinburgh
DEV_10259,LAPTOP,Windows 11,181.37.118.97,Nottingham
DEV_10260,TABLET,Android 13 Tablet,73.188.73.82,Manchester
DEV_10261,MOBILE,iOS 17.4,138.139.135.32,Liverpool
DEV_10262,TABLET,Android 13 Tablet,133.65.23.87,Liverpool
DEV_10263,MOBILE,iOS 16.5,78.185.211.206,Cardiff
DEV_10264,LAPTOP,Windows 11,60.125.218.94,Coventry
DEV_10265,TABLET,iPadOS 17,126.17.84.253,Birmingham
DEV_10266,MOBILE,Android 13,142.172.242.119,Glasgow
DEV_10267,TABLET,iPadOS 17,184.163.234.198,Leeds
DEV_10268,MOBILE,iOS 17.4,166.52.94.136,Edinburgh
DEV_10269,MOBILE,Android 14,77.39.41.4,Cardiff
DEV_10270,LAPTOP,macOS Sonoma,195.6.154.3,London
DEV_10271,LAPTOP,macOS Sonoma,114.232.230.107,Leicester
DEV_10272,MOBILE,Android 13,55.187.191.252,Glasgow
DEV_10273,MOBILE,iOS 16.5,118.177.71.16,Cardiff
DEV_10274,TABLET,iPadOS 17,163.168.85.96,Glasgow
DEV_10275,TABLET,iPadOS 17,164.71.94.44,Leeds
DEV_10276,TABLET,Android 13 Tablet,33.221.10.44,Cardiff
DEV_10277,MOBILE,iOS 17.4,183.74.11.202,Glasgow
DEV_10278,LAPTOP,macOS Sonoma,159.161.88.67,Cardiff
DEV_10279,TABLET,iPadOS 16,137.198.55.115,Newcastle
DEV_10280,TABLET,iPadOS 16,120.145.164.179,Manchester
DEV_10281,TABLET,iPadOS 17,164.38.202.81,Glasgow
DEV_10282,TABLET,iPadOS 17,132.232.3.162,Leeds
DEV_10283,MOBILE,iOS 16.5,129.102.164.107,Birmingham
DEV_10284,LAPTOP,Windows 10,70.129.74.50,Nottingham
DEV_10285,MOBILE,Android 14,191.204.128.167,Glasgow
DEV_10286,LAPTOP,macOS Sonoma,142.94.6.159,Nottingham
DEV_10287,MOBILE,iOS 17.4,167.108.176.227,Nottingham
DEV_10288,TABLET,iPadOS 16,147.65.250.228,Nottingham
DEV_10289,LAPTOP,Windows 10,96.220.40.22,Leeds
DEV_10290,TABLET,iPadOS 17,164.52.46.25,Bristol
DEV_10291,MOBILE,Android 14,146.123.165.94,Bristol
DEV_10292,LAPTOP,Windows 11,119.64.212.55,Newcastle
DEV_10293,MOBILE,Android 13,138.176.138.142,Sheffield
DEV_10294,LAPTOP,Windows 10,102.103.186.211,Coventry
DEV_10295,TABLET,iPadOS 17,126.211.71.141,Belfast
DEV_10296,LAPTOP,Windows 10,150.181.69.75,Coventry
DEV_10297,MOBILE,Android 13,111.58.132.81,London
DEV_10298,LAPTOP,macOS Sonoma,50.25.104.47,Belfast
DEV_10299,LAPTOP,macOS Sonoma,114.95.97.13,Liverpool
DEV_10300,LAPTOP,Ubuntu 22.04,72.9.245.102,Nottingham
DEV_10301,LAPTOP,macOS Ventura,183.135.40.143,Edinburgh
DEV_10302,LAPTOP,Windows 10,166.159.114.137,Belfast
DEV_10303,TABLET,iPadOS 17,124.34.41.14,Leicester
DEV_10304,MOBILE,Android 13,151.162.104.137,Belfast
DEV_10305,MOBILE,iOS 16.5,140.204.245.57,Cardiff
DEV_10306,TABLET,iPadOS 16,32.82.10.47,London
DEV_10307,MOBILE,Android 14,48.235.28.82,Glasgow
DEV_10308,TABLET,iPadOS 16,94.79.95.213,Birmingham
DEV_10309,LAPTOP,Ubuntu 22.04,102.63.37.146,Belfast
DEV_10310,MOBILE,Android 13,139.82.234.41,Glasgow
DEV_10311,LAPTOP,macOS Ventura,151.104.182.41,Cardiff
DEV_10312,TABLET,iPadOS 17,155.174.81.209,Nottingham
DEV_10313,LAPTOP,macOS Ventura,171.182.69.254,Manchester
DEV_10314,TABLET,Android 13 Tablet,186.59.235.206,Birmingham
DEV_10315,TABLET,iPadOS 17,191.115.122.118,Leicester
DEV_10316,MOBILE,Android 13,90.205.253.47,Nottingham
DEV_10317,LAPTOP,macOS Ventura,123.67.108.31,Belfast
DEV_10318,MOBILE,iOS 16.5,103.232.82.155,Edinburgh
DEV_10319,LAPTOP,Windows 10,111.18.95.23,Manchester
DEV_10320,TABLET,iPadOS 16,100.214.245.8,Nottingham
DEV_10321,MOBILE,iOS 16.5,98.160.147.170,Bristol
DEV_10322,MOBILE,Android 14,59.23.235.186,Cardiff
DEV_10323,TABLET,iPadOS 17,174.109.243.30,Glasgow
DEV_10324,LAPTOP,macOS Ventura,160.107.29.60,Liverpool
DEV_10325,MOBILE,Android 13,96.243.177.199,Sheffield
DEV_10326,LAPTOP,Ubuntu 22.04,87.96.104.75,Leicester
DEV_10327,LAPTOP,Windows 11,108.90.37.84,Coventry
DEV_10328,TABLET,Android 13 Tablet,173.62.39.138,Birmingham
DEV_10329,LAPTOP,Ubuntu 22.04,165.240.205.15,Belfast
DEV_10330,TABLET,iPadOS 16,47.94.237.179,Birmingham
DEV_10331,MOBILE,Android 13,60.5.186.208,Edinburgh
DEV_10332,LAPTOP,macOS Ventura,146.162.221.75,Coventry
DEV_10333,MOBILE,Android 13,104.162.60.50,Leicester
DEV_10334,MOBILE,iOS 17.4,190.107.202.136,Sheffield
DEV_10335,LAPTOP,macOS Sonoma,99.5.95.202,Leeds
DEV_10336,TABLET,iPadOS 17,92.241.62.23,Nottingham
DEV_10337,LAPTOP,Ubuntu 22.04,95.178.235.154,Edinburgh
DEV_10338,LAPTOP,macOS Ventura,135.164.50.144,Nottingham
DEV_10339,MOBILE,iOS 17.4,116.141.196.63,Leicester
DEV_10340,MOBILE,Android 13,51.92.136.51,Coventry
DEV_10341,MOBILE,Android 13,140.251.228.24,Birmingham
DEV_10342,MOBILE,Android 13,86.48.243.234,Edinburgh
DEV_10343,TABLET,iPadOS 17,168.176.169.153,Birmingham
DEV_10344,MOBILE,Android 13,128.74.142.177,London
DEV_10345,LAPTOP,Ubuntu 22.04,75.220.212.51,Leeds
DEV_10346,LAPTOP,Windows 11,91.175.58.46,Nottingham
DEV_10347,MOBILE,iOS 16.5,39.205.243.217,Edinburgh
DEV_10348,LAPTOP,Windows 10,126.113.108.60,Manchester
DEV_10349,TABLET,iPadOS 16,40.213.181.134,Cardiff
DEV_10350,TABLET,Android 13 Tablet,108.217.164.204,Cardiff
DEV_10351,MOBILE,Android 14,53.205.128.22,Manchester
DEV_10352,LAPTOP,Windows 10,31.120.120.248,Newcastle
DEV_10353,LAPTOP,macOS Ventura,96.118.176.148,Sheffield
DEV_10354,MOBILE,Android 14,76.62.181.10,Glasgow
DEV_10355,LAPTOP,Ubuntu 22.04,151.20.43.5,Leicester
DEV_10356,TABLET,iPadOS 16,63.211.18.141,Sheffield
DEV_10357,TABLET,iPadOS 16,63.28.208.123,Edinburgh
DEV_10358,LAPTOP,Windows 10,141.150.105.34,Leicester
DEV_10359,LAPTOP,Windows 10,119.138.173.193,London
DEV_10360,MOBILE,Android 13,115.97.162.131,Coventry
DEV_10361,TABLET,iPadOS 17,39.70.196.172,Leeds
DEV_10362,LAPTOP,Windows 11,155.254.213.58,Manchester
DEV_10363,MOBILE,iOS 16.5,138.87.148.174,Birmingham
DEV_10364,LAPTOP,Windows 11,80.152.191.8,Belfast
DEV_10365,LAPTOP,macOS Ventura,68.5.254.122,Coventry
DEV_10366,TABLET,iPadOS 16,41.150.175.10,Manchester
DEV_10367,TABLET,Android 13 Tablet,150.232.169.59,Nottingham
DEV_10368,LAPTOP,Windows 11,54.243.140.146,Liverpool
DEV_10369,TABLET,iPadOS 17,109.222.198.215,Glasgow
DEV_10370,MOBILE,Android 14,107.105.214.34,Bristol
DEV_10371,TABLET,iPadOS 16,99.35.70.216,Sheffield
DEV_10372,MOBILE,Android 13,55.125.181.53,Newcastle
DEV_10373,TABLET,iPadOS 17,66.11.205.174,Belfast
DEV_10374,LAPTOP,Ubuntu 22.04,68.87.154.4,Leeds
DEV_10375,MOBILE,iOS 17.4,191.192.152.48,Newcastle
DEV_10376,MOBILE,iOS 16.5,180.239.93.40,Edinburgh
DEV_10377,MOBILE,iOS 17.4,80.174.104.46,London
DEV_10378,TABLET,iPadOS 17,53.233.151.240,Belfast
DEV_10379,TABLET,iPadOS 17,192.161.54.122,London
DEV_10380,MOBILE,Android 13,118.168.6.128,Sheffield
DEV_10381,MOBILE,iOS 17.4,138.187.115.23,Manchester
DEV_10382,MOBILE,iOS 17.4,163.250.171.162,Belfast
DEV_10383,LAPTOP,Ubuntu 22.04,72.205.205.161,Sheffield
DEV_10384,LAPTOP,Windows 10,98.140.72.204,Leicester
DEV_10385,MOBILE,Android 14,185.29.232.125,Leeds
DEV_10386,LAPTOP,Windows 11,157.205.33.9,Nottingham
DEV_10387,LAPTOP,Windows 11,104.68.115.36,Leicester
DEV_10388,MOBILE,Android 13,35.150.103.141,Liverpool
DEV_10389,TABLET,Android 13 Tablet,163.46.165.154,Birmingham
DEV_10390,MOBILE,Android 13,96.172.149.50,Nottingham
DEV_10391,MOBILE,iOS 17.4,174.253.247.103,Coventry
DEV_10392,LAPTOP,Windows 10,180.28.252.174,Coventry
DEV_10393,TABLET,iPadOS 16,90.146.119.19,Nottingham
DEV_10394,TABLET,iPadOS 17,111.17.54.9,Bristol
DEV_10395,MOBILE,Android 13,64.14.221.96,Belfast
DEV_10396,MOBILE,iOS 17.4,139.116.43.207,Newcastle
DEV_10397,MOBILE,iOS 17.4,38.176.131.49,Newcastle
DEV_10398,MOBILE,Android 13,113.23.102.207,Birmingham
DEV_10399,TABLET,iPadOS 16,39.13.49.170,Newcastle
DEV_10400,LAPTOP,Ubuntu 22.04,146.175.165.120,Belfast
DEV_10401,LAPTOP,Windows 11,76.144.40.43,Cardiff
DEV_10402,LAPTOP,macOS Ventura,101.246.137.222,Birmingham
DEV_10403,LAPTOP,Windows 10,135.190.2.106,Cardiff
DEV_10404,LAPTOP,Ubuntu 22.04,147.71.119.103,Glasgow
DEV_10405,LAPTOP,Windows 11,151.100.172.18,Manchester
DEV_10406,LAPTOP,macOS Sonoma,189.208.182.122,Belfast
DEV_10407,MOBILE,Android 13,138.13.159.148,Leicester
DEV_10408,TABLET,Android 13 Tablet,180.232.145.150,London
