merchant_id,merchant_name,merchant_category,location,risk_score
M_1078,Argos #447,RETAIL,Newcastle,0.14
M_1079,Etsy #632,E_COMMERCE,Leeds,0.31
M_1080,Booking.com #95,TRAVEL,ONLINE,0.22
M_1081,Wayfair #307,E_COMMERCE,ONLINE,0.24
M_1082,Steam #868,GAMING,ONLINE,0.71
M_1083,Steam #647,GAMING,Newcastle,0.68
M_1084,Tesco #593,RETAIL,Newcastle,0.11
M_1085,Next #530,RETAIL,Liverpool,0.08
M_1086,EasyJet #332,TRAVEL,ONLINE,0.31
M_1087,Amazon #164,E_COMMERCE,ONLINE,0.31
M_1088,ASOS #458,E_COMMERCE,Bristol,0.21
M_1089,Crypto.com #196,CRYPTO_EXCHANGE,ONLINE,0.88
M_1090,Trainline #405,TRAVEL,ONLINE,0.33
M_1091,PokerStars #93,GAMING,Sheffield,0.77
M_1092,Sainsbury's #241,RETAIL,Liverpool,0.1
M_1093,Crypto.com #680,CRYPTO_EXCHANGE,ONLINE,0.78
M_1094,Boots #18,RETAIL,ONLINE,0.03
M_1095,Kraken #363,CRYPTO_EXCHANGE,Newcastle,0.9
M_1096,Trainline #593,TRAVEL,Sheffield,0.16
M_1097,PokerStars #556,GAMING,ONLINE,0.57
M_1098,Crypto.com #803,CRYPTO_EXCHANGE,ONLINE,0.84
M_1099,National Express #555,TRAVEL,ONLINE,0.25
M_1100,AliExpress #104,E_COMMERCE,London,0.12
M_1101,Bet365 #283,GAMING,Belfast,0.57
M_1102,Steam #834,GAMING,London,0.81
M_1103,Binance #775,CRYPTO_EXCHANGE,Liverpool,0.83
M_1104,National Express #626,TRAVEL,Glasgow,0.39
M_1105,Trainline #889,TRAVEL,ONLINE,0.3
M_1106,PokerStars #575,GAMING,ONLINE,0.57
M_1107,British Airways #585,TRAVEL,ONLINE,0.2
M_1108,AliExpress #774,E_COMMERCE,ONLINE,0.32
M_1109,Next #201,RETAIL,Nottingham,0.04
M_1110,Etsy #898,E_COMMERCE,Bristol,0.14
M_1111,National Express #837,TRAVEL,ONLINE,0.27
M_1112,888 Casino #389,GAMING,ONLINE,0.67
M_1113,eBay #396,E_COMMERCE,Nottingham,0.13
M_1114,PlayStation Network #151,GAMING,ONLINE,0.76
M_1115,PlayStation Network #548,GAMING,ONLINE,0.56
M_1116,Wayfair #592,E_COMMERCE,ONLINE,0.34
M_1117,Binance #813,CRYPTO_EXCHANGE,Sheffield,0.91
M_1118,Amazon #808,E_COMMERCE,ONLINE,0.13
M_1119,AliExpress #56,E_COMMERCE,Sheffield,0.15
M_1120,ASOS #579,E_COMMERCE,ONLINE,0.22
M_1121,Kraken #521,CRYPTO_EXCHANGE,ONLINE,0.94
M_1122,Crypto.com #515,CRYPTO_EXCHANGE,Leeds,0.76
M_1123,888 Casino #952,GAMING,ONLINE,0.59
M_1124,Amazon #122,E_COMMERCE,ONLINE,0.12
M_1125,EasyJet #984,TRAVEL,ONLINE,0.4
M_1126,888 Casino #448,GAMING,Liverpool,0.67
M_1127,National Express #216,TRAVEL,London,0.26
M_1128,Kraken #858,CRYPTO_EXCHANGE,ONLINE,0.72
M_1129,PlayStation Network #74,GAMING,ONLINE,0.58
M_1130,Marks & Spencer #640,RETAIL,Edinburgh,0.03
M_1131,PokerStars #764,GAMING,Cardiff,0.79
M_1132,AliExpress #958,E_COMMERCE,ONLINE,0.3
M_1133,Marks & Spencer #98,RETAIL,ONLINE,0.14
M_1134,Etsy #72,E_COMMERCE,Manchester,0.27
M_1135,Marks & Spencer #927,RETAIL,Edinburgh,0.11
M_1136,Boots #713,RETAIL,ONLINE,0.06
M_1137,EasyJet #567,TRAVEL,Edinburgh,0.22
M_1138,Booking.com #308,TRAVEL,Liverpool,0.39
M_1139,ASOS #671,E_COMMERCE,London,0.12
M_1140,British Airways #479,TRAVEL,ONLINE,0.2
M_1141,Luno #716,CRYPTO_EXCHANGE,ONLINE,0.79
M_1142,Kraken #780,CRYPTO_EXCHANGE,ONLINE,0.89
M_1143,National Express #214,TRAVEL,ONLINE,0.25
M_1144,Trainline #557,TRAVEL,Leeds,0.32
M_1145,Airbnb #323,TRAVEL,ONLINE,0.42
M_1146,Kraken #256,CRYPTO_EXCHANGE,Sheffield,0.92
M_1147,PokerStars #694,GAMING,Cardiff,0.66
M_1148,PlayStation Network #400,GAMING,ONLINE,0.56
M_1149,PlayStation Network #572,GAMING,ONLINE,0.7
M_1150,Argos #415,RETAIL,Birmingham,0.04
M_1151,Marks & Spencer #152,RETAIL,Coventry,0.04
M_1152,Booking.com #320,TRAVEL,Leicester,0.15
M_1153,Wayfair #501,E_COMMERCE,Coventry,0.24
M_1154,British Airways #746,TRAVEL,Cardiff,0.42
M_1155,Kraken #760,CRYPTO_EXCHANGE,ONLINE,0.83
M_1156,PokerStars #258,GAMING,London,0.84
M_1157,Luno #873,CRYPTO_EXCHANGE,Leeds,0.83
M_1158,Etsy #971,E_COMMERCE,Liverpool,0.16
M_1159,EasyJet #923,TRAVEL,Coventry,0.22
M_1160,Etsy #957,E_COMMERCE,ONLINE,0.11
M_1161,AliExpress #197,E_COMMERCE,Liverpool,0.17
M_1162,eBay #874,E_COMMERCE,Sheffield,0.29
M_1163,Steam #294,GAMING,ONLINE,0.57
M_1164,Trainline #798,TRAVEL,Leeds,0.36
M_1165,AliExpress #663,E_COMMERCE,ONLINE,0.18
M_1166,Marks & Spencer #890,RETAIL,Edinburgh,0.12
M_1167,eBay #332,E_COMMERCE,ONLINE,0.31
M_1168,Booking.com #151,TRAVEL,ONLINE,0.18
M_1169,Next #908,RETAIL,Nottingham,0.02
M_1170,Luno #583,CRYPTO_EXCHANGE,Nottingham,0.85
M_1171,ASDA #302,RETAIL,ONLINE,0.08
M_1172,Booking.com #989,TRAVEL,ONLINE,0.18
M_1173,Tesco #683,RETAIL,Liverpool,0.04
M_1174,Crypto.com #13,CRYPTO_EXCHANGE,Birmingham,0.85
M_1175,Crypto.com #874,CRYPTO_EXCHANGE,London,0.8
M_1176,PokerStars #221,GAMING,ONLINE,0.7
M_1177,Etsy #116,E_COMMERCE,ONLINE,0.22
M_1178,EasyJet #650,TRAVEL,Newcastle,0.22
M_1179,Airbnb #981,TRAVEL,Nottingham,0.41
M_1180,888 Casino #546,GAMING,Newcastle,0.58
M_1181,Binance #703,CRYPTO_EXCHANGE,ONLINE,0.86
M_1182,Wayfair #349,E_COMMERCE,ONLINE,0.22
M_1183,Wayfair #833,E_COMMERCE,Bristol,0.26
M_1184,Tesco #299,RETAIL,Leeds,0.09
M_1185,Bet365 #129,GAMING,Manchester,0.59
M_1186,EasyJet #522,TRAVEL,ONLINE,0.39
M_1187,ASDA #355,RETAIL,ONLINE,0.13
M_1188,ASOS #92,E_COMMERCE,ONLINE,0.31
M_1189,Amazon #221,E_COMMERCE,ONLINE,0.19
M_1190,Luno #683,CRYPTO_EXCHANGE,Nottingham,0.78
M_1191,Booking.com #23,TRAVEL,ONLINE,0.23
M_1192,AliExpress #70,E_COMMERCE,Nottingham,0.14
M_1193,888 Casino #907,GAMING,ONLINE,0.84
M_1194,AliExpress #852,E_COMMERCE,Edinburgh,0.28
M_1195,eBay #402,E_COMMERCE,ONLINE,0.34
M_1196,Marks & Spencer #211,RETAIL,Newcastle,0.13
M_1197,PokerStars #425,GAMING,Glasgow,0.82
M_1198,Currys #160,RETAIL,ONLINE,0.12
M_1199,Boots #83,RETAIL,Bristol,0.05
M_1200,Crypto.com #777,CRYPTO_EXCHANGE,ONLINE,0.71
M_1201,Binance #974,CRYPTO_EXCHANGE,ONLINE,0.91
M_1202,Binance #296,CRYPTO_EXCHANGE,London,0.8
M_1203,Tesco #558,RETAIL,Leeds,0.04
M_1204,National Express #71,TRAVEL,ONLINE,0.32
M_1205,ASDA #641,RETAIL,Belfast,0.1
M_1206,eBay #799,E_COMMERCE,ONLINE,0.31
M_1207,Trainline #982,TRAVEL,Manchester,0.27
M_1208,Luno #529,CRYPTO_EXCHANGE,ONLINE,0.78
M_1209,888 Casino #770,GAMING,ONLINE,0.64
M_1210,AliExpress #644,E_COMMERCE,Coventry,0.19
M_1211,Next #638,RETAIL,ONLINE,0.15
M_1212,Coinbase #104,CRYPTO_EXCHANGE,Glasgow,0.91
M_1213,Etsy #887,E_COMMERCE,ONLINE,0.33
M_1214,Etsy #275,E_COMMERCE,ONLINE,0.3
M_1215,Currys #529,RETAIL,ONLINE,0.03
M_1216,Bet365 #934,GAMING,ONLINE,0.66
M_1217,PlayStation Network #622,GAMING,ONLINE,0.7
M_1218,National Express #506,TRAVEL,Glasgow,0.38
M_1219,Wayfair #376,E_COMMERCE,Liverpool,0.18
M_1220,Booking.com #41,TRAVEL,Newcastle,0.24
M_1221,Boots #866,RETAIL,ONLINE,0.01
M_1222,ASOS #479,E_COMMERCE,Coventry,0.24
M_1223,Steam #74,GAMING,ONLINE,0.68
M_1224,eBay #64,E_COMMERCE,ONLINE,0.28
M_1225,Marks & Spencer #265,RETAIL,Manchester,0.01
M_1226,Trainline #833,TRAVEL,Leeds,0.16
M_1227,British Airways #636,TRAVEL,ONLINE,0.23
M_1228,Amazon #935,E_COMMERCE,ONLINE,0.25
M_1229,EasyJet #671,TRAVEL,Liverpool,0.2
M_1230,Wayfair #984,E_COMMERCE,ONLINE,0.27
M_1231,PlayStation Network #754,GAMING,ONLINE,0.68
M_1232,ASOS #99,E_COMMERCE,Glasgow,0.23
M_1233,ASDA #257,RETAIL,ONLINE,0.11
M_1234,Boots #702,RETAIL,London,0.04
M_1235,Tesco #806,RETAIL,ONLINE,0.09
M_1236,Marks & Spencer #563,RETAIL,ONLINE,0.13
M_1237,Amazon #586,E_COMMERCE,Birmingham,0.14
M_1238,Crypto.com #763,CRYPTO_EXCHANGE,Bristol,0.87
M_1239,Etsy #580,E_COMMERCE,Nottingham,0.16
M_1240,Crypto.com #969,CRYPTO_EXCHANGE,Birmingham,0.93
M_1241,Tesco #208,RETAIL,Bristol,0.03
M_1242,ASOS #777,E_COMMERCE,ONLINE,0.26
M_1243,Marks & Spencer #737,RETAIL,ONLINE,0.11
M_1244,National Express #920,TRAVEL,Coventry,0.31
M_1245,Wayfair #74,E_COMMERCE,ONLINE,0.1
M_1246,888 Casino #864,GAMING,Belfast,0.55
M_1247,EasyJet #883,TRAVEL,Edinburgh,0.28
M_1248,Binance #397,CRYPTO_EXCHANGE,ONLINE,0.83
M_1249,EasyJet #837,TRAVEL,ONLINE,0.4
M_1250,eBay #52,E_COMMERCE,ONLINE,0.25
M_1251,Trainline #767,TRAVEL,ONLINE,0.4
M_1252,Steam #786,GAMING,ONLINE,0.83
M_1253,Steam #774,GAMING,ONLINE,0.56
M_1254,Coinbase #306,CRYPTO_EXCHANGE,ONLINE,0.84
M_1255,Coinbase #854,CRYPTO_EXCHANGE,Leicester,0.93
M_1256,Currys #106,RETAIL,Leicester,0.11
M_1257,Etsy #505,E_COMMERCE,ONLINE,0.15
M_1258,ASOS #938,E_COMMERCE,ONLINE,0.15
M_1259,AliExpress #635,E_COMMERCE,Manchester,0.29
M_1260,Binance #563,CRYPTO_EXCHANGE,ONLINE,0.79
M_1261,Luno #115,CRYPTO_EXCHANGE,ONLINE,0.75
M_1262,Kraken #17,CRYPTO_EXCHANGE,ONLINE,0.86
M_1263,888 Casino #536,GAMING,ONLINE,0.71
M_1264,Steam #651,GAMING,ONLINE,0.66
M_1265,Marks & Spencer #57,RETAIL,Nottingham,0.14
M_1266,Wayfair #643,E_COMMERCE,Leeds,0.15
M_1267,Kraken #552,CRYPTO_EXCHANGE,ONLINE,0.72
M_1268,Crypto.com #609,CRYPTO_EXCHANGE,ONLINE,0.84
M_1269,Etsy #881,E_COMMERCE,ONLINE,0.2
M_1270,Crypto.com #728,CRYPTO_EXCHANGE,ONLINE,0.87
M_1271,Next #316,RETAIL,ONLINE,0.04
M_1272,Etsy #739,E_COMMERCE,ONLINE,0.3
M_1273,British Airways #874,TRAVEL,ONLINE,0.36
M_1274,PlayStation Network #120,GAMING,ONLINE,0.71
M_1275,EasyJet #885,TRAVEL,Liverpool,0.33
M_1276,Next #750,RETAIL,Liverpool,0.02
M_1277,Amazon #405,E_COMMERCE,ONLINE,0.28
M_1278,British Airways #593,TRAVEL,Bristol,0.22
M_1279,Boots #740,RETAIL,Newcastle,0.02
M_1280,AliExpress #735,E_COMMERCE,ONLINE,0.33
M_1281,Etsy #530,E_COMMERCE,Newcastle,0.28
M_1282,Amazon #428,E_COMMERCE,Liverpool,0.14
M_1283,Marks & Spencer #164,RETAIL,Leeds,0.1
M_1284,Wayfair #262,E_COMMERCE,ONLINE,0.34
M_1285,Wayfair #442,E_COMMERCE,Nottingham,0.26
M_1286,ASOS #965,E_COMMERCE,Bristol,0.21
M_1287,Steam #413,GAMING,ONLINE,0.84
M_1288,Bet365 #538,GAMING,ONLINE,0.72
M_1289,EasyJet #242,TRAVEL,Cardiff,0.18
M_1290,Crypto.com #411,CRYPTO_EXCHANGE,ONLINE,0.89
M_1291,Trainline #192,TRAVEL,Sheffield,0.44
M_1292,Currys #280,RETAIL,ONLINE,0.1
M_1293,Etsy #103,E_COMMERCE,Bristol,0.11
M_1294,PlayStation Network #881,GAMING,Birmingham,0.66
M_1295,National Express #625,TRAVEL,ONLINE,0.4
M_1296,Currys #242,RETAIL,ONLINE,0.12
M_1297,PlayStation Network #228,GAMING,Bristol,0.68
M_1298,Kraken #512,CRYPTO_EXCHANGE,Bristol,0.71
M_1299,Luno #770,CRYPTO_EXCHANGE,ONLINE,0.7
M_1300,Booking.com #436,TRAVEL,ONLINE,0.35
M_1301,Binance #708,CRYPTO_EXCHANGE,Nottingham,0.82
M_1302,888 Casino #865,GAMING,Cardiff,0.68
M_1303,Argos #791,RETAIL,ONLINE,0.11
M_1304,PokerStars #758,GAMING,Glasgow,0.7
M_1305,PokerStars #59,GAMING,Leicester,0.66
M_1306,Etsy #403,E_COMMERCE,ONLINE,0.26
M_1307,Airbnb #308,TRAVEL,Sheffield,0.16
M_1308,ASOS #681,E_COMMERCE,ONLINE,0.24
M_1309,Binance #609,CRYPTO_EXCHANGE,ONLINE,0.79
M_1310,Crypto.com #922,CRYPTO_EXCHANGE,ONLINE,0.95
M_1311,Coinbase #964,CRYPTO_EXCHANGE,Leicester,0.9
M_1312,EasyJet #761,TRAVEL,Cardiff,0.16
M_1313,PokerStars #660,GAMING,ONLINE,0.76
M_1314,AliExpress #983,E_COMMERCE,ONLINE,0.2
M_1315,Kraken #14,CRYPTO_EXCHANGE,ONLINE,0.81
M_1316,ASDA #641,RETAIL,ONLINE,0.13
M_1317,Boots #806,RETAIL,Edinburgh,0.06
M_1318,888 Casino #78,GAMING,Belfast,0.79
M_1319,PokerStars #878,GAMING,ONLINE,0.77
M_1320,888 Casino #952,GAMING,ONLINE,0.84
M_1321,National Express #26,TRAVEL,ONLINE,0.31
M_1322,PlayStation Network #317,GAMING,ONLINE,0.84
M_1323,Kraken #290,CRYPTO_EXCHANGE,ONLINE,0.7
M_1324,Kraken #857,CRYPTO_EXCHANGE,ONLINE,0.85
M_1325,Crypto.com #36,CRYPTO_EXCHANGE,Coventry,0.85
M_1326,National Express #268,TRAVEL,ONLINE,0.45
M_1327,Airbnb #489,TRAVEL,ONLINE,0.26
M_1328,Kraken #722,CRYPTO_EXCHANGE,Glasgow,0.83
M_1329,Steam #248,GAMING,ONLINE,0.71
M_1330,Coinbase #834,CRYPTO_EXCHANGE,Nottingham,0.77
M_1331,Coinbase #286,CRYPTO_EXCHANGE,Manchester,0.79
M_1332,Kraken #352,CRYPTO_EXCHANGE,Cardiff,0.81
M_1333,British Airways #74,TRAVEL,Cardiff,0.42
M_1334,Coinbase #738,CRYPTO_EXCHANGE,Birmingham,0.78
M_1335,National Express #346,TRAVEL,Cardiff,0.41
M_1336,ASOS #73,E_COMMERCE,ONLINE,0.24
M_1337,Kraken #640,CRYPTO_EXCHANGE,ONLINE,0.79
M_1338,Marks & Spencer #836,RETAIL,ONLINE,0.03
M_1339,Kraken #519,CRYPTO_EXCHANGE,ONLINE,0.86
M_1340,Marks & Spencer #742,RETAIL,Belfast,0.14
M_1341,Luno #23,CRYPTO_EXCHANGE,ONLINE,0.83
M_1342,PokerStars #92,GAMING,Belfast,0.72
M_1343,ASOS #693,E_COMMERCE,Newcastle,0.25
M_1344,ASDA #564,RETAIL,Glasgow,0.11
M_1345,Luno #958,CRYPTO_EXCHANGE,Edinburgh,0.93
M_1346,888 Casino #268,GAMING,ONLINE,0.84
M_1347,PokerStars #524,GAMING,ONLINE,0.76
M_1348,ASDA #799,RETAIL,Birmingham,0.12
M_1349,Binance #363,CRYPTO_EXCHANGE,Leeds,0.95
M_1350,Binance #382,CRYPTO_EXCHANGE,Sheffield,0.95
M_1351,Sainsbury's #356,RETAIL,ONLINE,0.03
M_1352,Sainsbury's #279,RETAIL,ONLINE,0.13
M_1353,Airbnb #455,TRAVEL,ONLINE,0.37
M_1354,Amazon #304,E_COMMERCE,ONLINE,0.16
M_1355,Steam #560,GAMING,Manchester,0.75
M_1356,eBay #574,E_COMMERCE,ONLINE,0.31
M_1357,AliExpress #180,E_COMMERCE,ONLINE,0.18
M_1358,Amazon #553,E_COMMERCE,Edinburgh,0.29
M_1359,Wayfair #87,E_COMMERCE,ONLINE,0.3
M_1360,Binance #648,CRYPTO_EXCHANGE,ONLINE,0.95
M_1361,PlayStation Network #274,GAMING,Leeds,0.65
M_1362,Booking.com #588,TRAVEL,ONLINE,0.38
M_1363,Kraken #389,CRYPTO_EXCHANGE,Glasgow,0.9
M_1364,National Express #118,TRAVEL,Nottingham,0.4
M_1365,Tesco #455,RETAIL,ONLINE,0.08
M_1366,Booking.com #189,TRAVEL,Coventry,0.17
M_1367,Steam #835,GAMING,ONLINE,0.84
M_1368,PlayStation Network #440,GAMING,ONLINE,0.67
M_1369,AliExpress #757,E_COMMERCE,ONLINE,0.27
M_1370,PokerStars #643,GAMING,ONLINE,0.78
M_1371,Luno #574,CRYPTO_EXCHANGE,ONLINE,0.92
M_1372,PlayStation Network #633,GAMING,ONLINE,0.56
M_1373,AliExpress #576,E_COMMERCE,ONLINE,0.2
M_1374,Coinbase #327,CRYPTO_EXCHANGE,Manchester,0.9
M_1375,EasyJet #184,TRAVEL,Belfast,0.39
M_1376,Marks & Spencer #718,RETAIL,Sheffield,0.08
M_1377,Airbnb #742,TRAVEL,ONLINE,0.4
M_1378,National Express #575,TRAVEL,ONLINE,0.41
M_1379,Luno #825,CRYPTO_EXCHANGE,ONLINE,0.89
M_1380,Wayfair #902,E_COMMERCE,ONLINE,0.33
M_1381,Boots #353,RETAIL,ONLINE,0.12
M_1382,Luno #241,CRYPTO_EXCHANGE,ONLINE,0.87
M_1383,Kraken #258,CRYPTO_EXCHANGE,Birmingham,0.82
M_1384,Boots #232,RETAIL,ONLINE,0.07
M_1385,Etsy #278,E_COMMERCE,ONLINE,0.15
M_1386,888 Casino #868,GAMING,ONLINE,0.69
M_1387,Wayfair #354,E_COMMERCE,ONLINE,0.32
M_1388,Binance #296,CRYPTO_EXCHANGE,ONLINE,0.84
M_1389,Wayfair #649,E_COMMERCE,ONLINE,0.31
M_1390,PlayStation Network #588,GAMING,ONLINE,0.81
M_1391,PlayStation Network #486,GAMING,ONLINE,0.78
M_1392,ASDA #933,RETAIL,Sheffield,0.07
M_1393,Bet365 #396,GAMING,ONLINE,0.56
M_1394,British Airways #163,TRAVEL,Glasgow,0.43
M_1395,Steam #531,GAMING,Manchester,0.78
M_1396,Steam #168,GAMING,ONLINE,0.79
M_1397,AliExpress #636,E_COMMERCE,ONLINE,0.11
M_1398,Trainline #829,TRAVEL,Manchester,0.29
M_1399,Marks & Spencer #304,RETAIL,ONLINE,0.1
M_1400,Etsy #905,E_COMMERCE,ONLINE,0.26
M_1401,ASOS #535,E_COMMERCE,Leicester,0.23
M_1402,Trainline #904,TRAVEL,ONLINE,0.44
M_1403,Kraken #771,CRYPTO_EXCHANGE,ONLINE,0.86
M_1404,National Express #568,TRAVEL,ONLINE,0.17
M_1405,Booking.com #115,TRAVEL,ONLINE,0.21
M_1406,Trainline #640,TRAVEL,ONLINE,0.23
M_1407,Luno #878,CRYPTO_EXCHANGE,ONLINE,0.89
M_1408,Next #937,RETAIL,Glasgow,0.05
M_1409,Tesco #287,RETAIL,ONLINE,0.04
M_1410,AliExpress #257,E_COMMERCE,ONLINE,0.2
M_1411,Currys #887,RETAIL,ONLINE,0.13
M_1412,Coinbase #34,CRYPTO_EXCHANGE,ONLINE,0.73
M_1413,Tesco #760,RETAIL,ONLINE,0.07
M_1414,Coinbase #533,CRYPTO_EXCHANGE,London,0.85
M_1415,Bet365 #229,GAMING,ONLINE,0.71
M_1416,National Express #758,TRAVEL,Leeds,0.22
M_1417,Bet365 #39,GAMING,ONLINE,0.62
M_1418,National Express #18,TRAVEL,ONLINE,0.35
M_1419,Booking.com #458,TRAVEL,Nottingham,0.43
M_1420,888 Casino #680,GAMING,Glasgow,0.71
M_1421,888 Casino #462,GAMING,Nottingham,0.8
M_1422,ASOS #533,E_COMMERCE,ONLINE,0.12
M_1423,888 Casino #638,GAMING,ONLINE,0.6
M_1424,PokerStars #365,GAMING,Glasgow,0.63
M_1425,Trainline #636,TRAVEL,Liverpool,0.36
M_1426,ASDA #517,RETAIL,ONLINE,0.04
M_1427,AliExpress #342,E_COMMERCE,ONLINE,0.33
M_1428,PokerStars #268,GAMING,Edinburgh,0.58
M_1429,Currys #777,RETAIL,Edinburgh,0.13
M_1430,Coinbase #184,CRYPTO_EXCHANGE,ONLINE,0.88
M_1431,Sainsbury's #745,RETAIL,ONLINE,0.05
M_1432,Crypto.com #325,CRYPTO_EXCHANGE,ONLINE,0.71
M_1433,Booking.com #361,TRAVEL,Manchester,0.3
M_1434,Steam #527,GAMING,Nottingham,0.67
M_1435,Wayfair #479,E_COMMERCE,Leicester,0.17
M_1436,PlayStation Network #647,GAMING,ONLINE,0.57
M_1437,Steam #919,GAMING,London,0.76
M_1438,Kraken #717,CRYPTO_EXCHANGE,ONLINE,0.92
M_1439,Kraken #743,CRYPTO_EXCHANGE,ONLINE,0.76
M_1440,Wayfair #975,E_COMMERCE,Manchester,0.31
M_1441,EasyJet #650,TRAVEL,ONLINE,0.19
M_1442,Steam #631,GAMING,Belfast,0.64
M_1443,PokerStars #820,GAMING,Sheffield,0.7
M_1444,Crypto.com #483,CRYPTO_EXCHANGE,Nottingham,0.92
M_1445,PlayStation Network #269,GAMING,ONLINE,0.75
M_1446,Etsy #953,E_COMMERCE,ONLINE,0.28
M_1447,British Airways #450,TRAVEL,ONLINE,0.18
M_1448,ASDA #609,RETAIL,Sheffield,0.02
M_1449,AliExpress #612,E_COMMERCE,ONLINE,0.26
M_1450,AliExpress #763,E_COMMERCE,ONLINE,0.26
M_1451,eBay #679,E_COMMERCE,ONLINE,0.13
M_1452,eBay #356,E_COMMERCE,Manchester,0.18
M_1453,Argos #472,RETAIL,Liverpool,0.07
